"x"	"tFrameTimeIndex"	"group"	"meanMeanArea"	"counts"	"tHours"	"xCm"	"tHrs"
"130"	0.0587875871316	1	"GFP"	8.42427956090432	109.4	0	0.17109893352	0
"131"	0.0587875871316	1	"GFP_x4"	8.42427956090432	437.6	0	0.17109893352	0
"132"	0.0587875871316	1	"mCh"	12.1234686371733	124.6	0	0.17109893352	0
"133"	0.0587875871316	2	"GFP"	NA	81.4	0.418055555555556	0.17109893352	0.418055555555556
"134"	0.0587875871316	2	"GFP_x4"	NA	325.6	0.418055555555556	0.17109893352	0.418055555555556
"135"	0.0587875871316	2	"mCh"	12.2481849463908	110.4	0.418055555555556	0.17109893352	0.418055555555556
"136"	0.0587875871316	3	"GFP"	NA	73.7	0.836111111111111	0.17109893352	0.836111111111111
"137"	0.0587875871316	3	"GFP_x4"	NA	294.8	0.836111111111111	0.17109893352	0.836111111111111
"138"	0.0587875871316	3	"mCh"	11.8568874291242	102.1	0.836111111111111	0.17109893352	0.836111111111111
"139"	0.0587875871316	4	"GFP"	NA	88.8	1.25416666666667	0.17109893352	1.25416666666667
"140"	0.0587875871316	4	"GFP_x4"	NA	355.2	1.25416666666667	0.17109893352	1.25416666666667
"141"	0.0587875871316	4	"mCh"	11.5051371915438	132	1.25416666666667	0.17109893352	1.25416666666667
"142"	0.0587875871316	5	"GFP"	8.33389981513066	74.2	1.67222222222222	0.17109893352	1.67222222222222
"143"	0.0587875871316	5	"GFP_x4"	8.33389981513066	296.8	1.67222222222222	0.17109893352	1.67222222222222
"144"	0.0587875871316	5	"mCh"	12.3363336733308	135.6	1.67222222222222	0.17109893352	1.67222222222222
"145"	0.0587875871316	6	"GFP"	8.78823060121661	89.5	2.09027777777778	0.17109893352	2.09027777777778
"146"	0.0587875871316	6	"GFP_x4"	8.78823060121661	358	2.09027777777778	0.17109893352	2.09027777777778
"147"	0.0587875871316	6	"mCh"	12.8765188644493	162.5	2.09027777777778	0.17109893352	2.09027777777778
"148"	0.0587875871316	7	"GFP"	NA	86.8	2.50833333333333	0.17109893352	2.50833333333333
"149"	0.0587875871316	7	"GFP_x4"	NA	347.2	2.50833333333333	0.17109893352	2.50833333333333
"150"	0.0587875871316	7	"mCh"	12.3720124675188	179.7	2.50833333333333	0.17109893352	2.50833333333333
"151"	0.0587875871316	8	"GFP"	NA	76.7	2.92638888888889	0.17109893352	2.92638888888889
"152"	0.0587875871316	8	"GFP_x4"	NA	306.8	2.92638888888889	0.17109893352	2.92638888888889
"153"	0.0587875871316	8	"mCh"	12.6011529205008	172.7	2.92638888888889	0.17109893352	2.92638888888889
"154"	0.0587875871316	9	"GFP"	7.82877917884699	65.3	3.34444444444444	0.17109893352	3.34444444444444
"155"	0.0587875871316	9	"GFP_x4"	7.82877917884699	261.2	3.34444444444444	0.17109893352	3.34444444444444
"156"	0.0587875871316	9	"mCh"	11.6385318562803	171.3	3.34444444444444	0.17109893352	3.34444444444444
"157"	0.0587875871316	10	"GFP"	NA	50	3.7625	0.17109893352	3.7625
"158"	0.0587875871316	10	"GFP_x4"	NA	200	3.7625	0.17109893352	3.7625
"159"	0.0587875871316	10	"mCh"	11.3247997614464	141.1	3.7625	0.17109893352	3.7625
"160"	0.0587875871316	11	"GFP"	7.41493746950244	46.6	4.18055555555556	0.17109893352	4.18055555555556
"161"	0.0587875871316	11	"GFP_x4"	7.41493746950244	186.4	4.18055555555556	0.17109893352	4.18055555555556
"162"	0.0587875871316	11	"mCh"	11.8902207067611	126.6	4.18055555555556	0.17109893352	4.18055555555556
"163"	0.0587875871316	12	"GFP"	7.89574831629837	28.7	4.59861111111111	0.17109893352	4.59861111111111
"164"	0.0587875871316	12	"GFP_x4"	7.89574831629837	114.8	4.59861111111111	0.17109893352	4.59861111111111
"165"	0.0587875871316	12	"mCh"	12.3115731477266	98	4.59861111111111	0.17109893352	4.59861111111111
"166"	0.0587875871316	13	"GFP"	6.98732756363383	50.3	5.01666666666667	0.17109893352	5.01666666666667
"167"	0.0587875871316	13	"GFP_x4"	6.98732756363383	201.2	5.01666666666667	0.17109893352	5.01666666666667
"168"	0.0587875871316	13	"mCh"	11.9474321355593	140.2	5.01666666666667	0.17109893352	5.01666666666667
"169"	0.0587875871316	14	"GFP"	8.2276931713668	36.2	5.43472222222222	0.17109893352	5.43472222222222
"170"	0.0587875871316	14	"GFP_x4"	8.2276931713668	144.8	5.43472222222222	0.17109893352	5.43472222222222
"171"	0.0587875871316	14	"mCh"	11.3234674417567	99.4	5.43472222222222	0.17109893352	5.43472222222222
"172"	0.0587875871316	15	"GFP"	6.6986973552763	12	5.85277777777778	0.17109893352	5.85277777777778
"173"	0.0587875871316	15	"GFP_x4"	6.6986973552763	48	5.85277777777778	0.17109893352	5.85277777777778
"174"	0.0587875871316	15	"mCh"	11.4135544191965	39.2	5.85277777777778	0.17109893352	5.85277777777778
"175"	0.0587875871316	16	"GFP"	6.80063492063492	10	6.27083333333333	0.17109893352	6.27083333333333
"176"	0.0587875871316	16	"GFP_x4"	6.80063492063492	40	6.27083333333333	0.17109893352	6.27083333333333
"177"	0.0587875871316	16	"mCh"	11.8306408515216	32.2	6.27083333333333	0.17109893352	6.27083333333333
"178"	0.0587875871316	17	"GFP"	NA	10.1	6.68888888888889	0.17109893352	6.68888888888889
"179"	0.0587875871316	17	"GFP_x4"	NA	40.4	6.68888888888889	0.17109893352	6.68888888888889
"180"	0.0587875871316	17	"mCh"	12.6870597310491	27	6.68888888888889	0.17109893352	6.68888888888889
